Pin,Teensy Pin,Teensy Analog Pin,Name,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
1,31,,PTE0,DISABLED,,PTE0,,UART1_TX,,,,RTC_CLKOUT,
2,26,,PTE1/LLWU_P0,DISABLED,,PTE1/LLWU_P0,,UART1_RX,,,,,
3,,,VDD,VDD,VDD,,,,,,,,
4,,,VSS,VSS,VSS,,,,,,,,
5,,,USB0_DP,USB0_DP,USB0_DP,,,,,,,,
6,,,USB0_DM,USB0_DM,USB0_DM,,,,,,,,
7,,,VOUT33,VOUT33,VOUT33,,,,,,,,
8,,,VREGIN,VREGIN,VREGIN,,,,,,,,
9,,A10,ADC0_DP0,ADC0_DP0,ADC0_DP0,,,,,,,,
10,,A11,ADC0_DM0,ADC0_DM0,ADC0_DM0,,,,,,,,
11,,A12,ADC0_DP3,ADC0_DP3,ADC0_DP3,,,,,,,,
12,,A13,ADC0_DM3,ADC0_DM3,ADC0_DM3,,,,,,,,
13,,,VDDA,VDDA,VDDA,,,,,,,,
14,,,VREFH,VREFH,VREFH,,,,,,,,
15,,,VREFL,VREFL,VREFL,,,,,,,,
16,,,VSSA,VSSA,VSSA,,,,,,,,
17,,,VREF_OUT/CMP1_IN5/CMP0_IN5,VREF_OUT/CMP1_IN5/CMP0_IN5,VREF_OUT/CMP1_IN5/CMP0_IN5,,,,,,,,
18,,,CMP1_IN3/ADC0_SE23,CMP1_IN3/ADC0_SE23,CMP1_IN3/ADC0_SE23,,,,,,,,
19,,,XTAL32,XTAL32,XTAL32,,,,,,,,
20,,,EXTAL32,EXTAL32,EXTAL32,,,,,,,,
21,,,VBAT,VBAT,VBAT,,,,,,,,
22,,,PTA0,JTAG_TCLK/SWD_CLK/EZP_CLK,TSI0_CH1,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
23,,,PTA1,JTAG_TDI/EZP_DI,TSI0_CH2,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
24,,,PTA2,JTAG_TDO/TRACE_SWO/EZP_DO,TSI0_CH3,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
25,,,PTA3,JTAG_TMS/SWD_DIO,TSI0_CH4,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
26,33,,PTA4/LLWU_P3,NMI_b/EZP_CS_b,TSI0_CH5,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
27,24,,PTA5,DISABLED,,PTA5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,
28,3,,PTA12,DISABLED,,PTA12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,
29,4,,PTA13/LLWU_P4,DISABLED,,PTA13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,
30,,,VDD,VDD,VDD,,,,,,,,
31,,,VSS,VSS,VSS,,,,,,,,
32,,,PTA18,EXTAL0,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,
33,,,PTA19,XTAL0,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
34,,,RESET_b,RESET_b,RESET_b,,,,,,,,
35,16,A2,PTB0/LLWU_P5,ADC0_SE8/TSI0_CH0,ADC0_SE8/TSI0_CH0,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,
36,17,A3,PTB1,ADC0_SE9/TSI0_CH6,ADC0_SE9/TSI0_CH6,PTB1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,
37,19,A5,PTB2,ADC0_SE12/TSI0_CH7,ADC0_SE12/TSI0_CH7,PTB2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,
38,18,A4,PTB3,ADC0_SE13/TSI0_CH8,ADC0_SE13/TSI0_CH8,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,,,FTM0_FLT0,,
39,0,,PTB16,TSI0_CH9,TSI0_CH9,PTB16,,UART0_RX,,,EWM_IN,,
40,1,,PTB17,TSI0_CH10,TSI0_CH10,PTB17,,UART0_TX,,,EWM_OUT_b,,
41,32,,PTB18,TSI0_CH11,TSI0_CH11,PTB18,,,I2S0_TX_BCLK,,,,
42,25,,PTB19,TSI0_CH12,TSI0_CH12,PTB19,,,I2S0_TX_FS,,,,
43,15,A1,PTC0,ADC0_SE14/TSI0_CH13,ADC0_SE14/TSI0_CH14,PTC0,SPI0_PCS4,PDB0_EXTRG,,,,,
44,22,A8,PTC1/LLWU_P6,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,,
45,23,A9,PTC2,ADC0_SE4b/CMP1_IN0/TSI0_CH15,ADC0_SE4b/CMP1_IN0/TSI0_CH16,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,,
46,9,,PTC3/LLWU_P7,CMP1_IN1,CMP1_IN2,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,,I2S0_TX_BCLK,,
47,,,VSS,VSS,VSS,,,,,,,,
48,,,VDD,VDD,VDD,,,,,,,,
49,10,,PTC4/LLWU_P8,DISABLED,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,,
50,13,,PTC5/LLWU_P9,DISABLED,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,,
51,11,,PTC6/LLWU_P10,CMP0_IN0,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,
52,12,,PTC7,CMP0_IN1,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,
53,28,,PTC8,CMP0_IN2,CMP0_IN2,PTC8,,,I2S0_MCLK,,,,
54,27,,PTC9,CMP0_IN3,CMP0_IN3,PTC9,,,I2S0_RX_BCLK,,,,
55,29,,PTC10,DISABLED,,PTC10,,,I2S0_RX_FS,,,,
56,30,,PTC11/LLWU_P11,DISABLED,,PTC11/LLWU_P11,,,,,,,
57,2,,PTD0/LLWU_P12,DISABLED,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,,,
58,14,A0,PTD1,ADC0_SE5b,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,,,,,
59,7,,PTD2/LLWU_P13,DISABLED,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,,,,,
60,8,,PTD3,DISABLED,,PTD3,SPI0_SIN,UART2_TX,,,,,
61,6,,PTD4/LLWU_P14,DISABLED,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,,
62,20,A6,PTD5,ADC0_SE6b,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,EWM_OUT_b,,
63,21,A7,PTD6/LLWU_P15,ADC0_SE7b,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,,
64,5,,PTD7,DISABLED,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,,
